closing_time_of_funding_and_candle,hourly_funding_rate,annualized_funding_rate,premium,openPrice,closingPrice,volume
1738504800026,1.25e-05,0.10950000000000001,0.0001461437,0.41469,0.43655,2010388.6
1738508400044,1.25e-05,0.10950000000000001,-2.47015e-05,0.43702,0.4378,790544.1
1738512000012,1.25e-05,0.10950000000000001,7.0617e-06,0.43655,0.43165,866075.5
1738515600164,1.25e-05,0.10950000000000001,-6.98548e-05,0.43164,0.40843,3904662.6
1738519200047,1.25e-05,0.10950000000000001,3.49124e-05,0.40857,0.40856,3528059.8
1738522800079,1.25e-05,0.10950000000000001,3.87373e-05,0.40787,0.38674,3543217.3
1738526400244,1.25e-05,0.10950000000000001,0.0001205942,0.38623,0.4163,6532488.0
1738530000054,1.25e-05,0.10950000000000001,0.0002100479,0.41611,0.41244,4103298.4
1738533600157,1.25e-05,0.10950000000000001,4.08349e-05,0.4121,0.40464,787394.5
1738537200081,1.25e-05,0.10950000000000001,7.15583e-05,0.40656,0.4066,1717806.6
1738540800021,1.25e-05,0.10950000000000001,5.06248e-05,0.41082,0.41477,3553338.8
1738544400171,1.25e-05,0.10950000000000001,0.0001757491,0.415,0.39696,3761916.7
1738548000015,1.25e-05,0.10950000000000001,-7.75671e-05,0.3978,0.32538,9509226.3
1738551600083,1.25e-05,0.10950000000000001,0.0002493627,0.32628,0.30717,14977864.2
1738555200169,1.25e-05,0.10950000000000001,0.0003325716,0.30787,0.31956,6903970.4
1738558800032,1.25e-05,0.10950000000000001,0.0003650883,0.31999,0.31259,3643389.4
1738562400038,1.25e-05,0.10950000000000001,0.00042579,0.31297,0.34008,1992627.3
1738566000159,3.47875e-05,0.30473849999999997,0.0007783,0.33985,0.34463,3278951.5
1738569600169,3.81789e-05,0.334447164,0.0008054314,0.34452,0.35427,1200622.6
1738573200090,5.1941e-05,0.45500316,0.000915528,0.35401,0.35026,2880220.8
1738576800008,4.70694e-05,0.412327944,0.0008765549,0.35019,0.35393,877324.8
1738580400055,4.33119e-05,0.37941224399999995,0.0008464952,0.35387,0.38804,1509922.2
1738584000014,4.63231e-05,0.40579035599999996,0.0008705849,0.38736,0.36946,1421906.7
1738587600091,3.46907e-05,0.30389053200000005,0.000777526,0.37001,0.36352,1071722.7
1738591200024,1.25e-05,0.10950000000000001,0.0003388653,0.36357,0.36872,4042478.7
1738594800082,1.25e-05,0.10950000000000001,0.0004235562,0.36932,0.39911,5852911.2
1738598400068,3.25422e-05,0.285069672,0.000760338,0.39901,0.42237,6308571.6
1738602000026,1.46588e-05,0.128411088,0.0006172706,0.4223,0.40752,2112047.6
1738605600048,1.93208e-05,0.16925020799999999,0.0006545667,0.40984,0.40777,1078296.1
1738609200109,1.25e-05,0.10950000000000001,0.0004498562,0.40814,0.41508,1009663.6
1738612800037,2.70294e-05,0.23677754399999998,0.0007162356,0.41741,0.43613,1661961.6
1738616400067,1.25e-05,0.10950000000000001,0.0005628598,0.43614,0.44469,2224785.1
1738620000047,2.73283e-05,0.23939590800000002,0.0007186265,0.44531,0.47063,3830507.8
1738623600086,3.5481e-05,0.31081356000000004,0.0007838476,0.47007,0.44979,3238735.8
1738627200170,1.25e-05,0.10950000000000001,0.0005789468,0.45039,0.45343,452869.8
1738630800104,1.25e-05,0.10950000000000001,0.0005259485,0.45361,0.43306,636926.1
1738634400075,1.25e-05,0.10950000000000001,0.0002831694,0.43281,0.42671,1156885.5
1738638000165,1.25e-05,0.10950000000000001,0.0003361896,0.42686,0.42915,801399.5
1738641600085,1.25e-05,0.10950000000000001,0.0003702303,0.42888,0.42017,914451.7
1738645200080,1.25e-05,0.10950000000000001,0.0005849623,0.42016,0.42084,2401166.2
1738648800109,1.25e-05,0.10950000000000001,0.0002942766,0.42116,0.3834,5805603.4
1738652400060,1.25e-05,0.10950000000000001,0.0004724892,0.3834,0.389,2546644.9
