closing_time_of_funding_and_candle,hourly_funding_rate,annualized_funding_rate,premium,openPrice,closingPrice,volume
1735689600054,1.25e-05,0.10950000000000001,-0.0003671303,,,
1735693200077,1.25e-05,0.10950000000000001,-9.38373e-05,,,
1735696800072,1.25e-05,0.10950000000000001,7.82e-05,,,
1735700400125,1.25e-05,0.10950000000000001,0.000135279,,,
1735704000070,1.25e-05,0.10950000000000001,0.0001753281,,,
1735707600170,1.25e-05,0.10950000000000001,0.0002430624,,,
1735711200066,1.25e-05,0.10950000000000001,0.0002816743,3341.6,3346.7,2740.9603
1735714800086,1.25e-05,0.10950000000000001,0.0003516601,3346.3,3348.4,5756.1879
1735718400132,1.25e-05,0.10950000000000001,0.0003786014,3348.4,3347.9,6651.0116
1735722000046,1.25e-05,0.10950000000000001,0.0003536606,3348.6,3338.1,2603.4365
1735725600089,1.25e-05,0.10950000000000001,0.0001178,3338.1,3334.9,9670.7837
1735729200037,1.25e-05,0.10950000000000001,0.0001194404,3334.9,3327.4,1891.7044
1735732800109,1.25e-05,0.10950000000000001,0.0003144875,3327.5,3342.5,4079.0232
1735736400136,1.25e-05,0.10950000000000001,0.0004457086,3342.5,3349.4,1845.3282
1735740000197,1.25e-05,0.10950000000000001,0.0004674581,3349.2,3345.4,2580.2498
1735743600144,1.25e-05,0.10950000000000001,0.0002501304,3345.4,3347.4,13162.7922
1735747200147,1.25e-05,0.10950000000000001,0.0004973593,3347.4,3354.4,5811.85
1735750800012,1.25e-05,0.10950000000000001,0.0003142255,3354.4,3339.2,7856.953
1735754400038,1.25e-05,0.10950000000000001,0.0002207728,3339.2,3344.5,6742.4331
1735758000085,1.25e-05,0.10950000000000001,0.0003047765,3344.4,3349.9,3921.1731
1735761600055,1.25e-05,0.10950000000000001,0.0003757547,3349.8,3359.0,7496.2114
1735765200084,1.60111e-05,0.140257236,0.000628089,3359.0,3362.4,4393.6986
1735768800022,3.25065e-05,0.28475693999999996,0.0007600521,3362.3,3370.4,7727.6312
1735772400024,2.8249e-05,0.24746124000000003,0.000725992,3371.3,3364.2,3053.9491
